SequenceName	ClusterNumber
AER59712.1	-1
QMS95041.1	-1
YP_009408395.1	-1
AXN75436.1	1
AXN74997.1	1
QHS34546.1	2
QOQ15722.1	2
QNQ32151.1	2
QNQ32127.1	2
QNQ32115.1	2
QMU92664.1	3
QND77102.1	3
QJA17276.1	3
QJC20391.1	3
QJC20043.1	3
QJC19491.1	3
QJD48915.1	3
QJF76438.1	3
QJI53955.1	3
QJR84441.1	3
QJS57135.1	3
QJS54106.1	3
QJS53386.1	3
QJT43584.1	3
QKE11662.1	3
QKE44665.1	3
QKE61684.1	3
QKG89150.1	3
QKR85081.1	3
QKV06379.1	3
QKU31901.1	3
QKY65277.1	3
QLA09870.1	3
QLB39201.1	3
QLB38609.1	3
QLC47117.1	3
QLE10897.1	3
QLE10861.1	3
QLE10753.1	3
QLG76133.1	3
QLH57714.1	3
QLH64779.1	3
QLI51193.1	3
QLI50629.1	3
QLJ84625.1	3
QLL27824.1	3
QLK98251.1	3
QLM05967.1	3
QLM05631.1	3
QLR12393.1	3
QLQ87492.1	3
QLY88959.1	3
QMJ20686.1	3
QMJ20554.1	3
QMJ20434.1	3
QMJ01065.1	3
QMJ00645.1	3
QMI98007.1	3
QMI97312.1	3
QMI93470.1	3
QMI93386.1	3
QMI93326.1	3
QMI92366.1	3
QMI91130.1	3
QMS51179.1	3
QMS53567.1	3
QMS52501.1	3
QMT96928.1	3
QMT93112.1	3
QMT92116.1	3
QMT91888.1	3
QMT91240.1	3
QMT53613.1	3
QMT52849.1	3
QMT50125.1	3
QMT49705.1	3
QMU25947.1	3
QJT72806.1	3
QMU94884.1	3
QMU94824.1	3
QMU94800.1	3
QMU92215.1	3
QMU91675.1	3
QNB48592.1	3
QNA39043.1	3
QLK98450.1	3
QNA38743.1	3
QNA37531.1	3
QNC53881.1	3
QND76190.1	3
QNC69806.1	3
QMJ00657.1	3
QNC69770.1	3
QNE12272.1	3
QNH88919.1	3
QNH88907.1	3
QNI25236.1	3
QNJ45998.1	3
QNL12218.1	3
QNL12170.1	3
QNL11642.1	3
QNL36430.1	3
QNL90884.1	3
QNM94394.1	3
QNN87388.1	3
QNN86049.1	3
QMJ01173.1	3
QNO30468.1	3
QLG99928.1	3
QNO30036.1	3
QNN88070.1	3
QNO97067.1	3
QNO91871.1	3
QNO58931.1	3
QLL36265.1	3
QNO40249.1	3
QNO33104.1	3
QNO32780.1	3
QNO30923.1	3
QNQ17021.1	3
QNR99587.1	3
QNS28961.1	3
QNS27628.1	3
QNS26714.1	3
QNS17708.1	3
QNT10120.1	3
QNU10908.1	3
QNU10860.1	3
QNU10576.1	3
QNU07479.1	3
QNT54520.1	3
QNV70974.1	3
QKG88946.1	3
QNV70830.1	3
QNV50370.1	3
QNV50094.1	3
QIZ13789.1	3
QOC67025.1	3
QOC62719.1	3
QOC62443.1	3
QOC62263.1	3
QOC62203.1	3
QOC60787.1	3
QOD06937.1	3
QOD06193.1	3
QOE45155.1	3
QKJ68737.1	3
QOE75986.1	3
QOE88020.1	3
QOE87816.1	3
QOH29557.1	3
QOH27846.1	3
QOH27738.1	3
QOH26958.1	3
QJT43572.1	3
QOH26742.1	3
QOH26310.1	3
QOH26202.1	3
QOF20729.1	3
QOF20357.1	3
QOF19361.1	3
QOF18401.1	3
QLI50905.1	3
QOF15437.1	3
QOF11357.1	3
QKQ63616.1	3
QOF10097.1	3
QOF09917.1	3
QKE51026.1	3
QOF09077.1	3
QLI51505.1	3
QNO32360.1	3
QOF08477.1	3
QOI10203.1	3
QOI09723.1	3
QOI53461.1	3
QOI11595.1	3
QNP06067.1	3
QOL21539.1	3
QOL83569.1	3
QOL78130.1	3
QKW95051.1	3
QOL77209.1	3
QOL73153.1	3
QOL72829.1	3
QJD23273.1	3
QOL72529.1	3
QOR63909.1	3
QOR63561.1	3
QOS47222.1	3
QOS47186.1	3
QMI93949.1	3
QOS47018.1	3
QOS46888.1	3
QOS45464.1	3
QOU97430.1	3
QOU97226.1	3
QNS00169.1	3
QOU96134.1	3
QOU94358.1	3
QNJ46106.1	3
QOU93302.1	3
QOU89978.1	3
QMI98151.1	3
QOU89342.1	3
QOU88610.1	3
QOU86306.1	3
QJX44634.1	3
QOU86078.1	3
QOU85742.1	3
QOU84482.1	3
QOU83846.1	3
QOU83546.1	3
QLA10322.1	3
QOJ40433.1	3
QKM75579.1	3
QOS50093.1	3
QKG81475.1	3
QOS49877.1	3
QKN20847.1	3
QOW16693.1	3
QOW16681.1	3
QNM94538.1	3
QOW16645.1	3
QOV61729.1	3
QOF18437.1	3
QOW62780.1	3
QOW62624.1	3
QNV50238.1	3
QOW62444.1	3
QOW18413.1	3
QOL76009.1	3
QOX07439.1	3
QOX06665.1	3
QOW96299.1	3
QOW96095.1	3
QOR63525.1	3
QOW96035.1	3
QOW86861.1	3
QMT48901.1	3
QOW86194.1	3
QOW85753.1	3
QOW83082.1	3
QOW83058.1	3
QOW83034.1	3
QOW82998.1	3
QOW82867.1	3
QOW82339.1	3
QOW82268.1	3
QOW82256.1	3
QOW82172.1	3
QNA41190.1	3
QOW81944.1	3
QOW80372.1	3
QOW80312.1	3
QOW79376.1	3
QKM75639.1	3
QOW79196.1	3
QOW78719.1	3
QOW78671.1	3
QMT96268.1	3
QOY43982.1	3
QMU25311.1	3
QOX08493.1	3
QOX08433.1	3
QOX08241.1	3
QOX08085.1	3
QOX07857.1	3
QMJ19849.1	3
QOX07833.1	3
QOY79275.1	3
QOZ00120.1	3
QOY99987.1	3
QOY99459.1	3
QMT92104.1	3
QOY99447.1	3
QMV29274.1	3
QOY99435.1	3
QOY98811.1	3
QKM75473.1	3
QPB13199.1	3
QPB13151.1	3
QPA20138.1	3
QOH26970.1	3
QPB18004.1	3
QMS51191.1	3
QPB45794.1	3
QOF17045.1	3
QPB41350.1	3
QPB41134.1	3
QPB40043.1	3
QKM75567.1	3
QMT92596.1	3
QOQ57024.1	3
QOI10107.1	3
QOW79796.1	3
QNV70746.1	3
QOU96446.1	3
QKQ30528.1	3
QJX44490.1	3
QNA36883.1	3
QMI94561.1	3
QNA37375.1	3
QMT96652.1	3
QND76742.1	3
QNN87664.1	3
QNN95245.1	3
QNQ17009.1	3
QNS00517.1	3
QNU12486.1	3
QOC66113.1	3
QLL36193.1	3
QOD06757.1	3
QOD06385.1	3
QNN86265.1	3
QOH27894.1	3
QOF19745.1	3
QOF10697.1	3
QOL76105.1	3
QNN87928.1	3
QOL73669.1	3
QOL73741.1	3
QOL73393.1	3
QOL73213.1	3
QOR63609.1	3
QOS47138.1	3
QJS57267.1	3
QOU98882.1	3
QOU88406.1	3
QOU87878.1	3
QOU83726.1	3
QOC62311.1	3
QOE87292.1	3
QOW17069.1	3
QOW96335.1	3
QOW83178.1	3
QNV50478.1	3
QOW80408.1	3
QPB17944.1	3
QPB40079.1	3
QJS53410.1	3
QJT72278.1	3
QKG91034.1	3
QKU30629.1	3
QKV42778.1	3
QKV35783.1	3
QKV35267.1	3
QKW89191.1	3
QLC91400.1	3
QLK97951.1	3
QMJ20135.1	3
QMI90736.1	3
QMT49873.1	3
QMT49357.1	3
QMU25275.1	3
QMU25143.1	3
QMU92676.1	3
QNA37099.1	3
QNA36163.1	3
QNC69830.1	3
QNI25368.1	3
QNI25284.1	3
QNL11906.1	3
QNL11366.1	3
QNL24068.1	3
QNQ16889.1	3
QNQ15632.1	3
QNS27340.1	3
QNV50418.1	3
QKV39455.1	3
QNV49494.1	3
QOC62671.1	3
QOC61411.1	3
QOC60811.1	3
QOD06745.1	3
QOH27786.1	3
QOH27318.1	3
QOF20033.1	3
QOF16421.1	3
QOF09869.1	3
QOI11559.1	3
QOL23145.1	3
QOL76261.1	3
QOL76141.1	3
QOL72925.1	3
QKM75377.1	3
QOW96239.1	3
QOW78911.1	3
QOY99927.1	3
QOY99423.1	3
QKV39659.1	3
QPB40019.1	3
QPC96740.1	3
QKN20943.1	3
QLI49817.1	3
QMT93328.1	3
QNV70890.1	3
QOF13301.1	3
QLF97987.1	3
QNN86884.1	3
QOQ71360.1	3
QNV50142.1	3
QOR63597.1	3
QOU97310.1	3
QKE45932.1	3
QLE10837.1	3
QOW82351.1	3
QKU32081.1	3
QLH00241.1	3
QOU92066.1	3
QMT54633.1	3
QOL21587.1	3
QNS27146.1	3
QPB14354.1	3
QOW18401.1	3
QPB13115.1	3
QJU70329.1	3
QMT56576.1	3
QOE75782.1	3
QOU87710.1	3
QMT51529.1	3
QOE75302.1	3
QOE87733.1	3
QOY99567.1	3
QOI10359.1	3
QKM75627.1	3
QMU94548.1	3
QMU92107.1	3
QLG76505.1	3
QOU89894.1	3
QKG89558.1	3
QOW17009.1	3
QLC94580.1	3
QOE88032.1	3
QLG97639.1	3
QND76598.1	3
QLR12261.1	3
QOI09987.1	3
QOI09639.1	3
QPB40031.1	3
QMI91370.1	3
QNO31172.1	3
QJQ04352.1	3
QMJ00969.1	3
QNS27304.1	3
QKU30389.1	3
QOY99603.1	3
QOH26286.1	3
QMI90914.1	3
QOW62480.1	3
QNM94154.1	3
QOF12077.1	3
QOW82759.1	3
QOL72517.1	3
QKK12815.1	3
QPB13550.1	3
QOQ29952.1	3
QOQ71921.1	3
QOC62059.1	3
QOU87326.1	3
QNG41829.1	3
QOU89282.1	3
QOW85215.1	3
QOW62984.1	3
QOY99507.1	3
QOF11213.1	3
QMS51530.1	3
QKM75413.1	3
