SequenceName	ClusterNumber
AER59712.1	-1
QMS95041.1	-1
YP_009408395.1	-1
AXN75436.1	1
AXN74997.1	1
AFH54739.1	2
QED21095.1	2
QHS34546.1	3
QOQ15722.1	3
QNQ32151.1	3
QNQ32127.1	3
QNQ32115.1	3
QKS67443.1	4
QOS14145.1	4
QKF95522.1	4
QOP88023.1	4
QLA46612.1	4
QKN61229.1	4
QMU92664.1	5
QND77102.1	5
QJA17276.1	5
QJC20391.1	5
QJC20043.1	5
QJC19491.1	5
QJD48915.1	5
QJF76438.1	5
QJI53955.1	5
QJR84441.1	5
QJS57135.1	5
QJS54106.1	5
QJS53386.1	5
QJT43584.1	5
QKE11662.1	5
QKE44665.1	5
QKE61684.1	5
QKG89150.1	5
QKR85081.1	5
QKV06379.1	5
QKU31901.1	5
QKY65277.1	5
QLA09870.1	5
QLB39201.1	5
QLB38609.1	5
QLC47117.1	5
QLE10897.1	5
QLE10861.1	5
QLE10753.1	5
QLG76133.1	5
QLH57714.1	5
QLH64779.1	5
QLI51193.1	5
QLI50629.1	5
QLJ84625.1	5
QLL27824.1	5
QLK98251.1	5
QLM05967.1	5
QLM05631.1	5
QLR12393.1	5
QLQ87492.1	5
QLY88959.1	5
QMJ20686.1	5
QMJ20554.1	5
QMJ20434.1	5
QMJ01065.1	5
QMJ00645.1	5
QMI98007.1	5
QMI97312.1	5
QMI93470.1	5
QMI93386.1	5
QMI93326.1	5
QMI92366.1	5
QMI91130.1	5
QMS51179.1	5
QMS53567.1	5
QMS52501.1	5
QMT96928.1	5
QMT93112.1	5
QMT92116.1	5
QMT91888.1	5
QMT91240.1	5
QMT53613.1	5
QMT52849.1	5
QMT50125.1	5
QMT49705.1	5
QMU25947.1	5
QJT72806.1	5
QMU94884.1	5
QMU94824.1	5
QMU94800.1	5
QMU92215.1	5
QMU91675.1	5
QNB48592.1	5
QNA39043.1	5
QLK98450.1	5
QNA38743.1	5
QNA37531.1	5
QNC53881.1	5
QND76190.1	5
QNC69806.1	5
QMJ00657.1	5
QNC69770.1	5
QNE12272.1	5
QNH88919.1	5
QNH88907.1	5
QNI25236.1	5
QNJ45998.1	5
QNL12218.1	5
QNL12170.1	5
QNL11642.1	5
QNL36430.1	5
QNL90884.1	5
QNM94394.1	5
QNN87388.1	5
QNN86049.1	5
QMJ01173.1	5
QNO30468.1	5
QLG99928.1	5
QNO30036.1	5
QNN88070.1	5
QNO97067.1	5
QNO91871.1	5
QNO58931.1	5
QLL36265.1	5
QNO40249.1	5
QNO33104.1	5
QNO32780.1	5
QNO30923.1	5
QNQ17021.1	5
QNR99587.1	5
QNS28961.1	5
QNS27628.1	5
QNS26714.1	5
QNS17708.1	5
QNT10120.1	5
QNU10908.1	5
QNU10860.1	5
QNU10576.1	5
QNU07479.1	5
QNT54520.1	5
QNV70974.1	5
QKG88946.1	5
QNV70830.1	5
QNV50370.1	5
QNV50094.1	5
QIZ13789.1	5
QOC67025.1	5
QOC62719.1	5
QOC62443.1	5
QOC62263.1	5
QOC62203.1	5
QOC60787.1	5
QOD06937.1	5
QOD06193.1	5
QOE45155.1	5
QKJ68737.1	5
QOE75986.1	5
QOE88020.1	5
QOE87816.1	5
QOH29557.1	5
QOH27846.1	5
QOH27738.1	5
QOH26958.1	5
QJT43572.1	5
QOH26742.1	5
QOH26310.1	5
QOH26202.1	5
QOF20729.1	5
QOF20357.1	5
QOF19361.1	5
QOF18401.1	5
QLI50905.1	5
QOF15437.1	5
QOF11357.1	5
QKQ63616.1	5
QOF10097.1	5
QOF09917.1	5
QKE51026.1	5
QOF09077.1	5
QLI51505.1	5
QNO32360.1	5
QOF08477.1	5
QOI10203.1	5
QOI09723.1	5
QOI53461.1	5
QOI11595.1	5
QNP06067.1	5
QOL21539.1	5
QOL83569.1	5
QOL78130.1	5
QKW95051.1	5
QOL77209.1	5
QOL73153.1	5
QOL72829.1	5
QJD23273.1	5
QOL72529.1	5
QOR63909.1	5
QOR63561.1	5
QOS47222.1	5
QOS47186.1	5
QMI93949.1	5
QOS47018.1	5
QOS46888.1	5
QOS45464.1	5
QOU97430.1	5
QOU97226.1	5
QNS00169.1	5
QOU96134.1	5
QOU94358.1	5
QNJ46106.1	5
QOU93302.1	5
QOU89978.1	5
QMI98151.1	5
QOU89342.1	5
QOU88610.1	5
QOU86306.1	5
QJX44634.1	5
QOU86078.1	5
QOU85742.1	5
QOU84482.1	5
QOU83846.1	5
QOU83546.1	5
QLA10322.1	5
QOJ40433.1	5
QKM75579.1	5
QOS50093.1	5
QKG81475.1	5
QOS49877.1	5
QKN20847.1	5
QOW16693.1	5
QOW16681.1	5
QNM94538.1	5
QOW16645.1	5
QOV61729.1	5
QOF18437.1	5
QOW62780.1	5
QOW62624.1	5
QNV50238.1	5
QOW62444.1	5
QOW18413.1	5
QOL76009.1	5
QOX07439.1	5
QOX06665.1	5
QOW96299.1	5
QOW96095.1	5
QOR63525.1	5
QOW96035.1	5
QOW86861.1	5
QMT48901.1	5
QOW86194.1	5
QOW85753.1	5
QOW83082.1	5
QOW83058.1	5
QOW83034.1	5
QOW82998.1	5
QOW82867.1	5
QOW82339.1	5
QOW82268.1	5
QOW82256.1	5
QOW82172.1	5
QNA41190.1	5
QOW81944.1	5
QOW80372.1	5
QOW80312.1	5
QOW79376.1	5
QKM75639.1	5
QOW79196.1	5
QOW78719.1	5
QOW78671.1	5
QMT96268.1	5
QOY43982.1	5
QMU25311.1	5
QOX08493.1	5
QOX08433.1	5
QOX08241.1	5
QOX08085.1	5
QOX07857.1	5
QMJ19849.1	5
QOX07833.1	5
QOY79275.1	5
QOZ00120.1	5
QOY99987.1	5
QOY99459.1	5
QMT92104.1	5
QOY99447.1	5
QMV29274.1	5
QOY99435.1	5
QOY98811.1	5
QKM75473.1	5
QPB13199.1	5
QPB13151.1	5
QPA20138.1	5
QOH26970.1	5
QPB18004.1	5
QMS51191.1	5
QPB45794.1	5
QOF17045.1	5
QPB41350.1	5
QPB41134.1	5
QPB40043.1	5
QKM75567.1	5
QMT92596.1	5
QOQ57024.1	5
QOI10107.1	5
QOW79796.1	5
QNV70746.1	5
QOU96446.1	5
QKQ30528.1	5
QJX44490.1	5
QNA36883.1	5
QMI94561.1	5
QNA37375.1	5
QMT96652.1	5
QND76742.1	5
QNN87664.1	5
QNN95245.1	5
QNQ17009.1	5
QNS00517.1	5
QNU12486.1	5
QOC66113.1	5
QLL36193.1	5
QOD06757.1	5
QOD06385.1	5
QNN86265.1	5
QOH27894.1	5
QOF19745.1	5
QOF10697.1	5
QOL76105.1	5
QNN87928.1	5
QOL73669.1	5
QOL73741.1	5
QOL73393.1	5
QOL73213.1	5
QOR63609.1	5
QOS47138.1	5
QJS57267.1	5
QOU98882.1	5
QOU88406.1	5
QOU87878.1	5
QOU83726.1	5
QOC62311.1	5
QOE87292.1	5
QOW17069.1	5
QOW96335.1	5
QOW83178.1	5
QNV50478.1	5
QOW80408.1	5
QPB17944.1	5
QPB40079.1	5
QJS53410.1	5
QJT72278.1	5
QKG91034.1	5
QKU30629.1	5
QKV42778.1	5
QKV35783.1	5
QKV35267.1	5
QKW89191.1	5
QLC91400.1	5
QLK97951.1	5
QMJ20135.1	5
QMI90736.1	5
QMT49873.1	5
QMT49357.1	5
QMU25275.1	5
QMU25143.1	5
QMU92676.1	5
QNA37099.1	5
QNA36163.1	5
QNC69830.1	5
QNI25368.1	5
QNI25284.1	5
QNL11906.1	5
QNL11366.1	5
QNL24068.1	5
QNQ16889.1	5
QNQ15632.1	5
QNS27340.1	5
QNV50418.1	5
QKV39455.1	5
QNV49494.1	5
QOC62671.1	5
QOC61411.1	5
QOC60811.1	5
QOD06745.1	5
QOH27786.1	5
QOH27318.1	5
QOF20033.1	5
QOF16421.1	5
QOF09869.1	5
QOI11559.1	5
QOL23145.1	5
QOL76261.1	5
QOL76141.1	5
QOL72925.1	5
QKM75377.1	5
QOW96239.1	5
QOW78911.1	5
QOY99927.1	5
QOY99423.1	5
QKV39659.1	5
QPB40019.1	5
QPC96740.1	5
QKN20943.1	5
QLI49817.1	5
QMT93328.1	5
QNV70890.1	5
QOF13301.1	5
QLF97987.1	5
QNN86884.1	5
QOQ71360.1	5
QNV50142.1	5
QOR63597.1	5
QOU97310.1	5
QKE45932.1	5
QLE10837.1	5
QOW82351.1	5
QKU32081.1	5
QLH00241.1	5
QOU92066.1	5
QMT54633.1	5
QOL21587.1	5
QNS27146.1	5
QPB14354.1	5
QOW18401.1	5
QPB13115.1	5
QJU70329.1	5
QMT56576.1	5
QOE75782.1	5
QOU87710.1	5
QMT51529.1	5
QOE75302.1	5
QOE87733.1	5
QOY99567.1	5
QOI10359.1	5
QKM75627.1	5
QMU94548.1	5
QMU92107.1	5
QLG76505.1	5
QOU89894.1	5
QKG89558.1	5
QOW17009.1	5
QLC94580.1	5
QOE88032.1	5
QLG97639.1	5
QND76598.1	5
QLR12261.1	5
QOI09987.1	5
QOI09639.1	5
QPB40031.1	5
QMI91370.1	5
QNO31172.1	5
QJQ04352.1	5
QMJ00969.1	5
QNS27304.1	5
QKU30389.1	5
QOY99603.1	5
QOH26286.1	5
QMI90914.1	5
QOW62480.1	5
QNM94154.1	5
QOF12077.1	5
QOW82759.1	5
QOL72517.1	5
QKK12815.1	5
QPB13550.1	5
QOQ29952.1	5
QOQ71921.1	5
QOC62059.1	5
QOU87326.1	5
